NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,NA,NA,NA,NA,NA,NA,0
Choctaw,01023,AL,NA,NA,NA,NA,NA,NA,NA,0
Russell,01113,AL,NA,NA,NA,NA,NA,NA,NA,0
Sussex,10005,DE,NA,NA,NA,NA,NA,NA,NA,0
Jackson,01071,AL,NA,NA,NA,NA,NA,NA,NA,0
Madison,01089,AL,NA,NA,NA,NA,NA,NA,NA,0
Chicot,05017,AR,NA,NA,NA,NA,NA,NA,NA,0
Randolph,05121,AR,NA,NA,NA,NA,NA,NA,NA,0
Lafayette,05073,AR,NA,NA,NA,NA,NA,NA,NA,0
Hempstead,05057,AR,NA,NA,NA,NA,NA,NA,NA,0
Bradford,12007,FL,NA,NA,NA,NA,NA,NA,NA,0
New Castle,10003,DE,NA,NA,NA,NA,NA,NA,NA,0
Western Connecticut,09190,CT,NA,NA,NA,NA,NA,NA,NA,0
Brevard,12009,FL,NA,NA,NA,NA,NA,NA,NA,0
Walton,12131,FL,NA,NA,NA,NA,NA,NA,NA,0
Hernando,12053,FL,NA,NA,NA,NA,NA,NA,NA,0
Hamilton,12047,FL,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,12065,FL,NA,NA,NA,NA,NA,NA,NA,0
Duval,12031,FL,NA,NA,NA,NA,NA,NA,NA,0
Elbert,13105,GA,NA,NA,NA,NA,NA,NA,NA,0
Murray,13213,GA,NA,2,NA,NA,NA,NA,NA,2
Livingston,17105,IL,NA,NA,NA,NA,NA,NA,NA,0
Rock Island,17161,IL,NA,NA,NA,NA,NA,NA,NA,0
Mahnomen,27087,MN,NA,NA,NA,NA,NA,NA,NA,0
Lake,18089,IN,NA,1,NA,NA,NA,NA,NA,1
Hennepin,27053,MN,NA,NA,NA,NA,NA,NA,NA,0
Mason,17125,IL,NA,NA,NA,NA,NA,NA,NA,0
Bronx,36005,NY,NA,NA,NA,NA,NA,NA,NA,0
Labette,20099,KS,NA,NA,NA,NA,NA,NA,NA,0
Westchester,36119,NY,2,4,NA,4,NA,NA,NA,6
Madison,36053,NY,NA,NA,NA,NA,NA,NA,NA,0
Whitley,21235,KY,NA,NA,NA,NA,NA,NA,NA,0
Providence,44007,RI,NA,2,NA,NA,NA,NA,NA,2
Erie,36029,NY,1,NA,NA,NA,NA,NA,NA,1
Lee,48287,TX,NA,NA,NA,NA,NA,NA,NA,0
Saratoga,36091,NY,NA,1,NA,NA,NA,NA,NA,1
Talladega,01121,AL,NA,NA,NA,NA,NA,NA,NA,0
Letcher,21133,KY,NA,3,NA,3,NA,NA,NA,3
Cuyahoga,39035,OH,NA,1,NA,1,NA,NA,NA,1
Hamilton,39061,OH,NA,NA,NA,NA,NA,NA,NA,0
Plaquemines,22075,LA,NA,NA,NA,NA,NA,NA,NA,0
De Soto,22031,LA,NA,NA,NA,NA,NA,NA,NA,0
Union,22111,LA,NA,NA,NA,NA,NA,NA,NA,0
Vernon,22115,LA,NA,NA,NA,NA,NA,NA,NA,0
Macon,01087,AL,NA,NA,NA,NA,NA,NA,NA,0
