NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Houston,01069,AL,NA,NA,NA,NA,NA,NA,NA,0
Choctaw,01023,AL,NA,NA,NA,NA,NA,NA,NA,0
Russell,01113,AL,NA,2,NA,NA,1,1,NA,4
Sussex,10005,DE,2,2,NA,NA,NA,1,NA,5
Jackson,01071,AL,NA,NA,NA,NA,NA,NA,NA,0
Madison,01089,AL,NA,NA,NA,NA,NA,NA,NA,0
New Castle,10003,DE,NA,2,NA,2,1,1,NA,4
Western Connecticut,09190,CT,9,17,NA,3,NA,NA,NA,26
Elbert,13105,GA,NA,NA,NA,NA,NA,NA,NA,0
Murray,13213,GA,NA,NA,NA,NA,NA,NA,NA,0
Livingston,17105,IL,NA,NA,NA,NA,NA,NA,NA,0
Rock Island,17161,IL,NA,NA,NA,NA,NA,NA,NA,0
Lake,18089,IN,NA,6,NA,NA,1,1,NA,8
Mason,17125,IL,NA,NA,NA,NA,NA,NA,NA,0
Bronx,36005,NY,1,7,NA,5,1,1,NA,10
Westchester,36119,NY,19,14,NA,5,1,1,NA,35
Madison,36053,NY,NA,1,NA,NA,1,1,NA,3
Whitley,21235,KY,1,NA,NA,NA,NA,NA,NA,1
Providence,44007,RI,9,9,NA,6,1,1,NA,20
Erie,36029,NY,NA,NA,NA,NA,NA,NA,NA,0
Saratoga,36091,NY,NA,1,NA,NA,NA,1,NA,2
Talladega,01121,AL,NA,NA,NA,NA,NA,NA,NA,0
Letcher,21133,KY,NA,NA,NA,NA,NA,NA,NA,0
Cuyahoga,39035,OH,2,NA,NA,NA,1,1,NA,4
Hamilton,39061,OH,1,1,NA,NA,1,1,NA,4
Macon,01087,AL,NA,NA,NA,NA,NA,NA,NA,0
Crenshaw,01041,AL,NA,NA,NA,NA,NA,NA,NA,0
Baltimore,24005,MD,NA,6,NA,1,NA,1,NA,7
Dorchester,24019,MD,2,3,NA,2,NA,1,NA,6
Charles,24017,MD,NA,7,NA,4,NA,1,NA,8
Cecil,24015,MD,NA,2,NA,NA,NA,1,NA,3
Barnstable,25001,MA,13,8,NA,1,1,1,NA,23
Middlesex,25017,MA,31,23,NA,7,1,1,NA,56
Marquette,26103,MI,NA,1,NA,NA,1,1,NA,3
Gogebic,26053,MI,NA,NA,NA,NA,NA,NA,NA,0
Monroe,26115,MI,NA,NA,NA,NA,NA,NA,NA,0
Presque Isle,26141,MI,NA,NA,NA,NA,NA,NA,NA,0
Adams,28001,MS,NA,NA,NA,NA,NA,NA,NA,0
Lowndes,28087,MS,NA,NA,NA,NA,NA,NA,NA,0
Tunica,28143,MS,NA,NA,NA,NA,NA,NA,NA,0
Tippah,28139,MS,NA,NA,NA,NA,NA,NA,NA,0
Strafford,33017,NH,1,17,4,10,1,1,NA,24
Atlantic,34001,NJ,1,4,NA,3,1,1,NA,7
Cape May,34009,NJ,1,14,NA,14,1,1,NA,17
Warren,34041,NJ,NA,11,NA,9,1,1,NA,13
Hunterdon,34019,NJ,1,7,NA,6,1,1,NA,10
Monmouth,34025,NJ,1,5,NA,4,1,1,NA,8
Middlesex,34023,NJ,NA,3,NA,1,1,1,NA,5
